subj,n_trials,mean_rt,accuracy
118340,574,0.6913437596563085,0.9878048780487805
120554,580,0.6349353692138069,0.9793103448275862
142272,577,0.6329070214674315,0.9618717504332756
142610,571,0.8935409417296287,0.9404553415061296
146393,575,0.7284616060862765,0.9773913043478261
149318,580,0.5190305552461363,0.9603448275862069
174411,567,0.7811297953480565,0.9435626102292769
180705,1153,0.697875223829046,0.8594969644405898
190732,579,0.5947804079761554,0.9792746113989638
194849,579,0.6268881826376753,0.9810017271157168
197623,565,0.8812275992920425,0.8849557522123894
204561,579,0.6675273229719482,0.9222797927461139
217278,569,0.6689191078917732,0.984182776801406
245080,576,0.6912611117283664,0.9670138888888888
247620,581,0.5724881662627108,0.9586919104991394
268879,575,0.7224071631498853,0.9565217391304348
274322,575,0.700947423118193,0.9686956521739131
282407,576,0.6998291650346596,0.9670138888888888
283382,567,0.8267465287138889,0.9682539682539683
288246,578,0.5643306331159776,0.9636678200692042
300190,560,0.8054602505348804,0.9392857142857143
301375,571,0.7309652643037355,0.9071803852889667
305899,560,0.6576226990761553,0.9339285714285714
311153,574,0.6006437766463762,0.8972125435540069
316750,574,0.803689074436263,0.980836236933798
317560,574,0.768332195662406,0.9721254355400697
318327,540,0.856829789974037,0.9462962962962963
342023,580,0.5982324039360034,0.9810344827586207
342919,577,0.6153350654039272,0.9826689774696707
352773,575,0.6950126080000191,0.9495652173913044
354109,554,1.018850015752778,0.8808664259927798
360027,574,0.6307898092227283,0.9355400696864111
367466,572,0.6685892994436679,0.9265734265734266
372544,574,0.6976886837963363,0.9581881533101045
375537,1154,0.6656625810074134,0.9324090121317158
376613,577,0.602270700411806,0.9792027729636048
391652,579,0.6566581322277928,0.9602763385146805
430453,580,0.5803990572683259,0.9672413793103448
443829,576,0.6776391152890642,0.9548611111111112
462795,577,0.7151184164530382,0.949740034662045
495135,566,0.73307024898147,0.9363957597173145
497562,563,0.8337309357610835,0.8774422735346359
514721,575,0.7658508977397931,0.9182608695652174
536211,580,0.7073981591406087,0.9827586206896551
590116,580,0.6198869759493121,0.9758620689655172
604153,569,0.7121323176690697,0.9402460456942003
604995,579,0.7401693227107682,0.9861830742659758
608204,565,0.7758857097824301,0.9327433628318584
613451,575,0.6908536088183391,0.9373913043478261
623074,577,0.7578131939579081,0.9324090121317158
639598,1134,0.6353108069217355,0.9682539682539683
648597,551,0.9004419891644211,0.9274047186932849
658554,565,0.7809943164421752,0.9486725663716814
668918,572,0.7884301135666189,0.9737762237762237
684397,564,0.8397245927187607,0.898936170212766
713272,568,0.7923051688260687,0.9665492957746479
718774,579,0.6360894381822625,0.9326424870466321
725297,1153,0.7018174492462559,0.9540329575021682
726851,552,0.9115408434168008,0.9782608695652174
733206,572,0.7675643816431381,0.8881118881118881
737218,537,0.9637800481687877,0.8994413407821229
753332,580,0.5982121644409604,0.95
766339,579,0.6652319393302227,0.9740932642487047
774293,573,0.6859610166739354,0.9912739965095986
799330,579,0.6565820283635735,0.9775474956822107
816471,570,0.7787933970806052,0.9596491228070175
819650,569,0.6634149687893339,0.945518453427065
847738,523,0.8090120890438642,0.8948374760994264
862128,560,0.825393192884297,0.925
862659,574,0.7008044439314703,0.9407665505226481
868858,567,0.7550604004147796,0.9647266313932981
879281,580,0.6402981208276242,0.9879310344827587
901381,546,0.9797100753113954,0.9285714285714286
901393,578,0.5859496203524774,0.9740484429065744
933604,575,0.6481054391122278,0.9669565217391304
935666,536,0.7905517991925783,0.8470149253731343
936750,578,0.6417198668223529,0.9584775086505191
954987,578,0.620196357462365,0.9307958477508651
959728,578,0.596154906688872,0.8356401384083045
981502,562,0.7976012418492864,0.9519572953736655
990512,578,0.716566469039019,0.972318339100346
